,Title,Publication Title,Conference Name,PublicationType,Author,Item Type,Publication Year,Sector,AppTagGeneral,TechniqueTagGen,TechniqueTagSpec,AppTagSpecific,title,ID
67,Prioritizing and Visualizing Energy Management and Control System Data to Provide Actionable Information For Building Operators,Proceedings from 2011 Western Energy Policy Research Conference,Western Energy Policy Research Conference,Other Building Sci. Journal,"Duarte, Carlos; Acker, Brad; Grosshans, Ray; Manic, Milos; Van Den Wymelenberg, Kevin; Rieger, Craig",conferencePaper,2011,Building Energy Analysis,Operations,Visual Analytics,Energy Information Systems (EIS),Energy Management,Prioritizing and Visualizing Energy Management and Control System Data to Provide Actionable Information For Building Operators,duarte\_prioritizing\_2011
90,"Visualizing Energy Information in Commercial Buildings: A Study of Tools, Expert Users, and Building Occupants",,,Other Building Sci. Journal,"Lehrer, David; Vasudev, Janani",report,2011,Building Energy Analysis,PortfolioAnalysis,Visual Analytics,Energy Information Systems (EIS),Characterization,,
72,Sensor mining for user behavior profiling in intelligent environments,Advances in Distributed Agent-Based Retrieval Tools,,Other Comp. Sci. Journal,"Augello, Agnese; Ortolani, Marco; Re, G Lo; Gaglio, Salvatore",journalArticle,2011,Computer Science,Operations,Clustering,Multiple Techniques,Occupancy Detection,Sensor mining for user behavior profiling in intelligent environments,augello\_sensor\_2011
92,Visualizing frequent patterns in large multivariate time series,Proceedings of SPIE Conference on Visualization and Data Analysis 2011,SPIE Conference on Visualization and Data Analysis,SPIE Conference,"Hao, M.; Marwah, M.; Janetzko, H.; Sharma, R.; Keim, D. A.; Dayal, U.; Patnaik, D.; Ramakrishnan, N.",conferencePaper,2011,Computer Science,Operations,Visual Analytics,Pattern Analysis,Controls,Visualizing frequent patterns in large multivariate time series,hao\_visualizing\_2011
89,Using principal component and cluster analysis in the heating evaluation of the school building sector,Applied Energy,,Applied Energy (Journal),"Gaitani, N; Lehmann, C; Santamouris, M; Mihalakakou, G; Patargias, P",journalArticle,2010,Building Energy Analysis,PortfolioAnalysis,Clustering,Multiple Techniques,Targeting,Using principal component and cluster analysis in the heating evaluation of the school building sector,gaitani\_using\_2010
10,A system-level fault detection and diagnosis strategy for HVAC systems involving sensor faults,Energy and Buildings,,Energy and Buildings (Journal),"Wang, Shengwei; Zhou, Qiang; Xiao, Fu",journalArticle,2010,Building Energy Analysis,AnomalyDetection,Novelty Detection,Principal Component Analysis (PCA),Subsystem,A system-level fault detection and diagnosis strategy for HVAC systems involving sensor faults,wang\_system-level\_2010
21,Building energy information systems: user case studies,Energy Efficiency,,Energy Efficiency (Journal),"Granderson, Jessica; Piette, Mary Ann; Ghatikar, Girish",journalArticle,2010,Building Energy Analysis,PortfolioAnalysis,Visual Analytics,Energy Information Systems (EIS),Characterization,Building energy information systems: user case studies,granderson\_building\_2010
41,Evaluating different clustering techniques for electricity customer classification,"Transmission and Distribution Conference and Exposition, 2010 IEEE PES",Transmission and Distribution Conference and Exposition,IEEE Conference,"Bidoki, S M; Mahmoudi-Kohan, N; Sadreddini, M H; Zolghadri Jahromi, M; Moghaddam, M P",conferencePaper,2010,Electrical Engineering,SmartMeter,Clustering,Multiple Techniques,Customer Class.,Evaluating different clustering techniques for electricity customer classification,bidoki\_evaluating\_2010
19,Black-box models for fault detection and performance monitoring of buildings,Journal of Building Performance Simulation,,Journal of Building Performance Simulation,"Jacob, Dirk; Dietz, Sebastian; Komhard, Susanne; Neumann, Christian; Herkel, Sebastian",journalArticle,2010,Building Simulation,AnomalyDetection,Clustering,Hierarchical Clustering,Whole Building,Black-box models for fault detection and performance monitoring of buildings,jacob\_black-box\_2010
93,Wakame: Sense Making of Multi-dimensional Spatial-temporal Data,Proceedings of the International Conference on Advanced Visual Interfaces (AVI 2010),International Conference on Advanced Visual Interfaces (AVI),Other Comp. Sci. Conf.,"Forlines, Clifton; Wittenburg, Kent",conferencePaper,2010,Computer Science,AnomalyDetection,Visual Analytics,Pattern Analysis,Subsystem,Wakame: Sense Making of Multi-dimensional Spatial-temporal Data,forlines\_wakame:\_2010
28,Data Mining for Modeling Chiller Systems in Data Centers,Advances in Intelligent Data Analysis IX,,Other Comp. Sci. Journal,"Patnaik, Debprakash; Marwah, Manish; Sharma, Ratnesh K; Ramakrishnan, Naren",bookSection,2010,Computer Science,Operations,Motif Detection,Symbolic Aggregate Approximation (SAX),Controls,Data Mining for Modeling Chiller Systems in Data Centers,patnaik\_data\_2010
5,A method for detecting abnormal electricity energy consumption in buildings,Journal Of Computational Information Systems,,Other Elec. Engineering Journal,"Liu, Dandan; Chen, Qijun; Mori, Kazuyuki; Kida, Yukio",journalArticle,2010,Computer Science,AnomalyDetection,Novelty Detection,Classification and Regression Tree(CART),Whole Building,A method for detecting abnormal electricity energy consumption in buildings,liu\_method\_2010
80,Sustainable Operation and Management of Data Center Chillers Using Temporal Data Mining,Proceedings of the 15th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD 2009),ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD),ACM Conference,"Patnaik, Debprakash; Marwah, Manish; Sharma, Ratnesh; Ramakrishnan, Naren",conferencePaper,2009,Computer Science,Operations,Motif Detection,Symbolic Aggregate Approximation (SAX),Controls,Sustainable Operation and Management of Data Center Chillers Using Temporal Data Mining,patnaik\_sustainable\_2009
83,The energy dashboard: improving the visibility of energy consumption at a campus-wide scale,Proceedings of the First ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys 2009),ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys),ACM Conference,"Agarwal, Yuvraj; Weng, Thomas; Gupta, Rajesh K.",conferencePaper,2009,Computer Science,PortfolioAnalysis,Visual Analytics,Energy Information Systems (EIS),Characterization,The energy dashboard: improving the visibility of energy consumption at a campus-wide scale,agarwal\_energy\_2009
31,Data mining applications in power systemsäóîCase-studies and future trends,"IEEE Transmission & Distribution Conference & Exposition: Asia and Pacific, 2009",IEEE Transmission & Distribution Conference & Exposition,IEEE Conference,"Vale, Zita A; Ramos, Carlos; Ramos, Sí©rgio; Pinto, Tiago",conferencePaper,2009,Electrical Engineering,SmartMeter,Clustering,Multiple Techniques,Customer Class.,,
79,Support vector clustering of electrical load pattern data,IEEE Transactions on Power Systems,,IEEE Transactions (Journal),"Chicco, Gianfranco; Ilie, I S",journalArticle,2009,Electrical Engineering,SmartMeter,Clustering,Support Vector Machines (SVM),Load Profiling,Support vector clustering of electrical load pattern data,chicco\_support\_2009
70,Research Scoping Report: Visualizing Information in Commercial Buildings,,,Other Building Sci. Journal,"Lehrer, David",report,2009,Building Energy Analysis,PortfolioAnalysis,Visual Analytics,Energy Information Systems (EIS),Characterization,,
57,Low-voltage electricity customer profiling based on load data clustering,Proceedings of the 2009 International Database Engineering & Applications Symposium (IDEAS 2009),International Database Engineering & Applications Symposium (IDEAS),Other Comp. Sci. Conf.,"Gullo, Francesco; Ponti, Giovanni; Tagarelli, Andrea; Ruffolo, Massimiliano; Labate, Diego",conferencePaper,2009,Computer Science,SmartMeter,Clustering,Multiple Techniques,Load Profiling,Low-voltage electricity customer profiling based on load data clustering,gullo\_low-voltage\_2009
53,Improving energy efficiency in buildings using machine intelligence,Intelligent Data Engineering and Automated Learning-IDEAL 2009,,Other Comp. Sci. Journal,"Sedano, Javier; Villar, Josí© Ramí_n; Curiel, Leticia; De La Cal, Enrique; Corchado, Emilio",bookSection,2009,Computer Science,PortfolioAnalysis,Clustering,Maximum Likelihood (ML),Targeting,Improving energy efficiency in buildings using machine intelligence,sedano\_improving\_2009
48,Feature-based clustering for electricity use time series data,"Adaptive and Natural Computing Algorithms: 9th International Conference, ICANNGA 2009",International Conference on Adaptive and Natural Computing Algorithms (ICANNGA),Other Elec. Engineering Conf.,"Rí_sí_nen, Teemu; Kolehmainen, Mikko",conferencePaper,2009,Electrical Engineering,SmartMeter,Clustering,Multiple Techniques,Load Profiling,Feature-based clustering for electricity use time series data,rasanen\_feature-based\_2009
69,Reducing energy consumption by using self-organizing maps to create more personalized electricity use information,Applied Energy,,Applied Energy (Journal),"Rí_sí_nen, Teemu; Ruuskanen, Juhani; Kolehmainen, Mikko",journalArticle,2008,Computer Science,SmartMeter,Clustering,Self-Organizing Maps (SOM),Customer Class.,Reducing energy consumption by using self-organizing maps to create more personalized electricity use information,rasanen\_reducing\_2008
66,Principal component analysis of electricity use in office buildings,Energy and Buildings,,Energy and Buildings (Journal),"Lam, Joseph C; Wan, Kevin K W; Cheung, K L; Yang, Liu",journalArticle,2008,Building Energy Analysis,PortfolioAnalysis,Novelty Detection,Principal Component Analysis (PCA),Characterization,Principal component analysis of electricity use in office buildings,lam\_principal\_2008
51,Identification of Causal Variables for Building Energy Fault Detection by Semi-supervised LDA and Decision Boundary Analysis,"Data Mining Workshops, 2008. ICDMW '08. IEEE International Conference on",IEEE International Conference on Data Mining Workshop (ICDMW),IEEE Conference,"Yoshida, Keigo; Inui, Minoru; Yairi, Takehisa; Machida, Kazuo; Shioya, Masaki; Masukawa, Yoshio",conferencePaper,2008,Electrical Engineering,AnomalyDetection,Novelty Detection,Linear Descriminant Analysis (LDA),Subsystem,Identification of Causal Variables for Building Energy Fault Detection by Semi-supervised LDA and Decision Boundary Analysis,yoshida\_identification\_2008
26,Clustering-Based Performance Optimization of the Boiler Turbine System,IEEE Transactions on Energy Conversion,,IEEE Transactions (Journal),"Kusiak, Andrew; Song, Zhe",journalArticle,2008,Electrical Engineering,Operations,Clustering,Multiple Techniques,Controls,Clustering-Based Performance Optimization of the Boiler Turbine System,kusiak\_clustering-based\_2008
87,Using intelligent clustering techniques to classify the energy performance of school buildings,Energy and Buildings,,Energy and Buildings (Journal),"Santamouris, M; Mihalakakou, G; Patargias, P; Gaitani, N; Sfakianaki, K; Papaglastra, M; Pavlou, C; Doukas, P; Primikiri, E; Geros, V; Assimakopoulos, M N; Mitoula, R; Zerefos, S",journalArticle,2007,Building Energy Analysis,PortfolioAnalysis,Clustering,Fuzzy Clustering,Classifying,Using intelligent clustering techniques to classify the energy performance of school buildings,santamouris\_using\_2007
88,Using intelligent data analysis to detect abnormal energy consumption in buildings,Energy and Buildings,,Energy and Buildings (Journal),"Seem, John E",journalArticle,2006,Building Energy Analysis,AnomalyDetection,Novelty Detection,Generalized Extreme Studentized Deviate (GESD),Whole Building,Using intelligent data analysis to detect abnormal energy consumption in buildings,seem\_using\_2006
23,"Classification, Filtering, and Identification of Electrical Customer Load Patterns Through the Use of Self-Organizing Maps",IEEE Transactions on Power Systems,,IEEE Transactions (Journal),"Verdu, S V; Garcia, M O; Senabre, C; Marin, A G; Franco, F J G",journalArticle,2006,Electrical Engineering,SmartMeter,Clustering,Self-Organizing Maps (SOM),Customer Class.,"Classification, Filtering, and Identification of Electrical Customer Load Patterns Through the Use of Self-Organizing Maps",verdu\_classification\_2006
73,"Sensor-fault detection, diagnosis and estimation for centrifugal chiller systems using principal-component analysis method",Applied Energy,,Applied Energy (Journal),"Wang, Shengwei; Cui, J",journalArticle,2005,Building Energy Analysis,AnomalyDetection,Novelty Detection,Principal Component Analysis (PCA),Component,"Sensor-fault detection, diagnosis and estimation for centrifugal chiller systems using principal-component analysis method",wang\_sensor-fault\_2005
63,Pattern recognition algorithm for determining days of the week with similar energy consumption profiles,Energy and Buildings,,Energy and Buildings (Journal),"Seem, John E",journalArticle,2005,Building Energy Analysis,PortfolioAnalysis,Clustering,Hierarchical Clustering,Characterization,Pattern recognition algorithm for determining days of the week with similar energy consumption profiles,seem\_pattern\_2005
11,An Electric Energy Consumer Characterization Framework Based on Data Mining Techniques,IEEE Transactions on Power Systems,,IEEE Transactions (Journal),"Figueiredo, V; Rodrigues, F; Vale, Z; Gouveia, J B",journalArticle,2005,Electrical Engineering,SmartMeter,Clustering,K-Means,Customer Class.,An Electric Energy Consumer Characterization Framework Based on Data Mining Techniques,figueiredo\_electric\_2005
